Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Fish,Placodermi,Placodermi,Ptyctodontida,Acantholepis fragilis,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,"Sallan, L. & Galimberti, A.K., 2015",2.10,TL,"Sallan, L. & Galimberti, A.K., 2015",,,,, ,,,,,mr,
Fish,Placodermi,Placodermi,Arthrodira,Angarichthys hyperboreus,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,"Carr, R., 1995",2.30,TL,"Sallan, L. & Galimberti, A.K., 2015",,,,, ,,,,,mr,
Fish,Acanthodii ,Acanthodii ,Climatiida,Antacanthus insignis,species,Paleozoic,Carboniferous,Mississippian,,Carboniferous,Mississippian,,"Sallan, L. & Galimberti, A.K., 2015",3.00,TL,"Sallan, L. & Galimberti, A.K., 2015",Europe,,,, ,,,,,mr,
Fish,Placodermi,Placodermi,Arthrodira,Aspidichthys clavatus,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,"Carr, R., 1995",2.00,TL,"Sallan, L. & Galimberti, A.K., 2015",,,,, ,,,,,mr,
Fish,Placodermi,Placodermi,Arthrodira,Aspidichthys ingens ,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,"Carr, R., 1995",1.90,TL,"Sallan, L. & Galimberti, A.K., 2015",,,,, ,,,,,mr,
Fish,Placodermi,Placodermi,Antiarcha,Asterolepis orcadensis ,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,"Carr, R., 1995",1.90,TL,"Sallan, L. & Galimberti, A.K., 2015",,,,, ,,,,,mr,
Fish,Actinopterygii,Actinopterygii,Pachycormiformes,Asthenocormus titanius,species,Mesozoic,Jurassic,Upper Jurassic,,Jurassic,Upper Jurassic,,"Friedman, M. et al., 2010",2.10,TL,"Goatley, C.H.R. et al., 2010, Friedman, M. et al., 2010",,,,, ,,,,,MR,
Fish,Placodermi,Placodermi,Arthrodira,Atlantidosteus pacifica ,species,Paleozoic,Devonian,Lower Devonian,,Devonian,Lower Devonian,,"Carr, R., 1995",5.00,TL,"Sallan, L. & Galimberti, A.K., 2015",,,,, ,,,,,mr,
Fish,Actinopterygii,Actinopterygii,Tetraodontiformes,Austromola angerhoferi,species,Cenozoic,Neogene,Miocene,,Neogene,Miocene,,"Gregorova, 2009",3.20,TL,"Gregorova, 2009",Europe,,,, ,R. L Carroll 1988,,,"odest modern type sunfish, ref Ruzena Gregorova et al. 2009",er,
Fish,Sarcopterygii,Sarcopterygii,Rhizodontida,Barameda decipiens,species,Paleozoic,Carboniferous,Mississippian,,Carboniferous,Mississippian,,Holland et al. 2007,2.00,TL,Sallan 2016,Oceania,Macropredator,Benthic,, ,Garvey et al. 2005,,,only one specimen found,er,
Fish,Placodermi,Placodermi,Arthrodira,Belgiosteus mortelmansi ,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,Carr 1995,3.60,TL,Sallan 2015,,Macropredator,,,Predator. Guild inferred from what is known about guild at the family level,Carr et al. 2008; Gorzelak et al. 2010,,,,mr,
Fish,Placodermi,Placodermi,Arthrodira,Bimbianga burrinjuckensis,species,Paleozoic,Devonian,Lower Devonian,,Devonian,Lower Devonian,,Sallan 2015,1.30,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Actinopterygii,Actinopterygii,Birgeriiformes,Birgeria americana,species,Mesozoic,Triassic,Lower Triassic,,Triassic,Lower Triassic,,Romano et al. 2017,1.85,TL,Romano et al. 2017,North America,Macropredator,Pelagic,,Guild and Vertical taken from what is known at the genus level,Tintori et al. 2013,,,,AG,
Fish,Actinopterygii,Actinopterygii,Birgeriiformes,Birgeria stensioei,species,Mesozoic,Triassic,Middle Triassic,,Triassic,Middle Triassic,,Romano and Brinkmann 2009,1.20,TL,Romano and Brinkmann 2009,Europe,Macropredator,Pelagic,,Guild and Vertical taken from what is known at the genus level,Tintori et al. 2013,,,,AG,
Fish,Actinopterygii,Actinopterygii,Bobasatraniiformes,Bobasatrania canadensis ,species,Mesozoic,Triassic,Lower Triassic,,Triassic,Lower Triassic,,"Schaeffer et al. 1976, Romano et al. 2016",1.20,SL,Romano et al. 2016,North America,Macropredator,,,Genus described as Durophagous by Romano et al. 2016 ,Schaeffer et al. 1976,,,,AG,
Fish,Actinopterygii,Actinopterygii,Bobasatraniiformes,Bobasatrania nathorsti,species,Mesozoic,Triassic,Lower Triassic,,Triassic,Lower Triassic,,"Cox & Smith 1973, Schaeffer et al. 1976, Romano et al. 2016",1.00,SL,Romano et al. 2016,Europe,Macropredator,,Coastal,Genus described as Durophagous by Romano et al. 2016 ,"Cox & Smith, 1973",,,,"MR, AG",
Fish,Actinopterygii,Actinopterygii,Pachycormiformes,Bonnerichthys,genus,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,"Friedman et al. 2010, Friedman et al. 2013",5.00,TL,Friedman et al. 2010,North America,Micropredator,Pelagic,Coastal, ,"Friedman et al., 2010; Friedman et al., 2013",,,,AG,
