Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Invert,Mollusca,Cephalopoda,Actinocerida,Actinoceras vaughanianum,species,Paleozoic,Carboniferous ,Mississippian,Serpukhovian,Carboniferous ,Mississippian,Serpukhovian,Klug et al. 2014,1.20,TL,Klug et al. 2014,"USA, Oklahoma",Macropredator,Benthic,Coastal,"nautiloids (like Nautilus): motile predator with four gills?; Actinocerida: depressed longicones, fairly active swimmers, inhabit nektobenthos up to 150m in depth, extremely depressed forms specialized as benthonic crawlers and burrowers confined to sub-strate",Knoll et al. 1996; Mid-America Palaeontology Society 1992,"gradual decrease in diversity, extinct in Carboniferous; predator-driven evolution (large cephalopods, early gnathostome fishes)",Mid-America Palaeontology Society 1992; Kiel et al. 2022,,Sheldon,Checked
Invert,Mollusca,Merostomata,Eurypterida,Acutiramus bohemicus,species,Paleozoic,Silurian,Pridoli,,Devonian,Lower Devonian,Pragian,Brandt 2021; Burrow et al. 2001,2.10,maximum length,Brandt 2021,,Macropredator,Benthic,Coastal,see A. cummingsi (genus) --> A. perneri,McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"423 – 419.2; PBDB; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,Checked
Invert,Mollusca,Merostomata,Eurypterida,Acutiramus macrophthalmus,species,Paleozoic,Silurian,Pridoli,,Silurian,Pridoli,,Brandt 2021,2.00,maximum length,Brandt 2021,,Macropredator,Benthic,Coastal,see A. cummingsi (genus) --> A. perneri,McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"423 – 419.2; PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,Checked
Invert,Mollusca,Merostomata,Eurypterida,Acutiramus perneri,species,Paleozoic,Devonian,Lower Devonian,Lochkovian,Devonian,Lower Devonian,Lochkovian,Brandt 2021,1.10,maximum length,Brandt 2021,,Macropredator,Benthic,Coastal,"Eurypteracea, Pterygotidae; ambush predator or scavenger upon soft-bodied organisms, possibly feeding in low-light conditions or at night (genus)",McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"413.6 – 410.8; no age PBDB; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,Checked
Invert,Mollusca,Dinocaridia,Radiodonts,Aegirocassis benmoulae,species,Paleozoic,Cambrian,,,Ordovician,Lower Ordovician,,Van Roy et Briggs 2015;Daley et al. 2010,2.00,maximum length,Van Roy et Briggs 2015,USA,Micropredator,Pelagic,Coastal,nektonic Filter-feeder,Van Roy et Briggs 2015; Paterson et al. 2020,,,K: No info in PBDB,Sheldon,
Invert,Mollusca,Dinocaridia,Radiodonts,Amplectobelua symbrachiata,species,Paleozoic,Cambrian,,,Cambrian,,,Daley et al. 2010; Cong et al. 2017,1.00,TL,Daley et al. 2010; Cong et al. 2017,"China, Canada (Burgess Shale)",Macropredator,Pelagic,Coastal,nektonic predator,Van Roy et Briggs 2015; Cong et al. 2017; Zeng et al. 2017,,,,Sheldon,
Invert,Mollusca,Dinocaridia,Radiodonts,Anomalocaris canadensis,species,Paleozoic,Cambrian,,,Cambrian,,,D.E.G. Briggs 1979; Paterson et al. 2011; Lerosey-Aubril et al. 2018,1.00,TL,Daley et al. 2014,Canada,Macropredator,Pelagic,Coastal,nektonic Filter-feeder,Van Roy et Briggs 2015; Paterson et al. 2020,,,,Sheldon,
Invert,Mollusca,Gastropoda,Sorbeoconcha,Campanile giganteum,species,Cenozoic,Paleogene,Eocene,Lutetian,Paleogene,Eocene,Lutetian,de Winter 2020,1.00,TL,Jung 1987,Paris Basin,Micropredator,Benthic,Coastal,complete seasonal temperature range,de Winter 2020,cooling temeprature,Hansen 1987,,Sheldon,
Invert,Mollusca,Merostomata,Eurypterida,Carcinosoma punctatum,species,Paleozoic,Silurian,Ludlow,,Silurian,Ludlow,,Klug et al. 2014,2.20,maximum size,Klug et al. 2014,Europe,Macropredator,Benthic,Coastal,"Eurypterina, nektonic predators?",,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Mollusca,Merostomata,Eurypterida,Cyrtoctenus wittebergensis,species,Paleozoic,Carboniferous,Mississippian,Tournaisian,Carboniferous,Mississippian,Visean,Brandt 2021; Waterston et al. 1985,1.35,maximum length,Brandt 2021,,Micropredator,Benthic,Coastal,Stylonurina; benthic scavengers / benthic sweep-feeders,Lamsdell & Braddy 2009,Permian-Triassic extinction event,Lamsdell & Braddy 2009,"358.9 – 346.7; PBDB; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Mollusca,Cephalopoda,Actinocerida,Deiroceras ,genus,Paleozoic,Ordovician,Middle Ordovician,,Devonian,Lower Devonian,Pragian,Fang et al. 2018,2.60,TL,Klug et al. 2014,,Macropredator,Benthic,Coastal,nautiloids (like Nautilus): motile predator with four gills?; see Actinocera (A. vaughanianum),Knoll et al. 1996; Mid-America Palaeontology Society 1992,"gradual decrease in diversity, extinct in Carboniferous; predator-driven evolution (large cephalopods, early gnathostome fishes)",Mid-America Palaeontology Society 1992; Kiel et al. 2022,,Sheldon,
Invert,Mollusca,Cephalopoda,Octopoda,Enchoteuthis melanae,species,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,Larson 2010,12.00,TL,Larson 2010,Western Interior Seaway,Macropredator,Pelagic,Coastal,,Larson 2010,,,,Sheldon,
Invert,Mollusca,Cephalopoda,Endoceridae,Endoceras giganteum,species,Paleozoic,Ordovician,Middle Ordovician,,Ordovician,Upper Ordovician,,Klug et al. 2014,9.00,TL,Klug et al. 2014,New York,Micropredator,Pelagic,Oceanic,"giant suspension feeder, significant role in ecosystems; Endocerida: largest nautiloids (up to 9m), long straight shell (orthocone), nektonic swimmers, reaching depths of 300-500m, largest forms confined to benthos",Mironenko 2018; Mid-America Palaeontology Society 1992,"gradual decrease in diversity, extinct in Silurian; predator-driven evolution (large cephalopods, early gnathostome fishes)",Mid-America Palaeontology Society 1992; Kiel et al. 2022,,Sheldon,
