Group,Clade,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Mammal,Cetacea,Cetacea,Aegyptocetus,genus,Cenozoic,Paleogene,Eocene,Bartonian,Paleogene,Eocene,Bartonian,"G. Bianucci, C. Nocchi, C. Sorbini and W. Landini. 2003. L' Archeoceto Nella Roccia alle Origini dei Cetacei",NA,,,Africa,Macropredator,Pelagic,Coastal,semiaquatic,Bianucci & Gingerich 2011 Journal of Vertrebrate Evolution; PBDB,,,amphibious lifestyle/ Esin: No max. body size (length) found,GH,
Mammal,Cetacea,Cetacea,Aetiocetus,genus,Cenozoic,Paleogene,Oligocene,Rupelian,Paleogene,Oligocene,Chattian,Deméré & Berta 2008 Zoological Journal of the Linnean Society ; Oishi & Hasegawa 1995 The Island Arc,3.06,TL,Pyenson & Sponberg 2011 Journal of Mammal Evolution,North America; Asia,Micropredator,Pelagic,,"bulk filter-feeders (Other toothed mysticetes include the diverse Aetiocetidae, which are thought to have been incipient bulk filter-feeders and possessed baleen); from second ref, not sure about their feeding ecology. some suggest proto-baleen structure, others suggest specialized raptorial suction feeding strategy (some form of proto-baleen was present as a rudimentary oral filter to complement the more traditional raptorial suction feeding strategy of earlier diverging toothed mysticetes) These contrasting interpretations of aetiocetid phylogeny and function underscore the important role that this transitional group plays in reconstructing early mysticete evolution and how the anatomical features of purely suction-aided raptorial feeders could be co-opted in a step-wise fashion for bulk filter feeding in later diverging edentulous mysticetes; dental simplification of Aetiocetus spp. a derived trait unrelated to the loss of dentition in crown Mysticeti",Fitzgerald 2006 Proceedings of the Royal Society; Berta et al. 2016 Integrative and Comparative Biology; Peredo & Pyenson 2018 Royal Society open science,,,"species: cotylalveus, size prediction based on cotylaveus, maximum bound of prediction range is 5.4m ",GH,
Mammal,Cetacea,Cetacea,Aglaocetus,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Miocene,Upper Miocene,Cabrera 1926 Revista del Museo de La Plata; Van Deinse 1931 De fossilele en recente Cetacea van Nederland,7.25,TL,Pyenson & Sponberg 2011,North America; South America; Europe,Micropredator,Pelagic,Coastal/Oceanic,"micropredator,pelagic, coastal/oceanic ",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"species: moreni, age: 15.97 to 13.65MA, size prediction based on moreni, maximum bound of prediction range is 12.79m",GH,
Mammal,Cetacea,Cetacea,Albireo,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,"Barnes 1984 Fossil odontocetes (Mammalia: Cetacea) from the Almejas Formation, Isla Cedros, Mexico ; Domning 1978 Sirenian evolution in the North Pacific Ocean. University of California Publications in Geological Sciences (savagei species)",2.50,TL,"Barnes Lawrence G.,2008 Science Series, Number 41",North America,Macropredator,Benthopelagic,Coastal/Oceanic,"mesopredator,benthopelagic, coastal/oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"species: A. savage&A.whistleri, size measure from whistleri, age: savagei 3.6 to 2.588 MA whistleri 7.246 to 5.332 MA, (whistleri species based on nearly complete holotypic skeleton from the lower part (,6–8 Ma) of the latest Miocene age",GH,
Mammal,Cetacea,Cetacea,Aprixokogia,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,"Whitmore 1987 Cetacea from the Sahabi Formation, Libya. Neogene Paleontology and Geology of Sahabi 145-151",6.00,TL,Pimiento et. al 2017,North America,Macropredator,Pelagic,Oceanic,"mesopredator, pelagic, oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,species: kellogi,GH,
Mammal,Cetacea,Cetacea,Archaebalaenoptera,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,Koretsky & Peters 2008 Deinsea; Bisconti 2007 Palaeontology,9.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,South America; Europe,Micropredator,Pelagic,Coastal/Oceanic,"micropredator, pelagic, coastal/oceanic; advanced lunge feeding behavior",Pimiento et al. 2017 Nature Ecology & Evolution; Berta et al. 2016 Integrative and Comparative Biology,winner of pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,,MG,
Mammal,Desmostylia,Desmostylia,Archaeoparadoxia,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Lower Miocene,J. M. Clark. 1991. A new early Miocene species of Paleoparadoxia (Mammalia: Desmostylia) from California. Journal of Vertebrate Paleontology 11(4):490-508,NA,,,North America,Herbivore,Benthic,Coastal,amphibious herbivore; foraging on aquatic vegetation,Domning et al. 1986; Matsui et al. 2022,"replaced my Sirenians during late Miocene , competition for food ",Berta et al. 2020 Palaeontologia Electronica,Esin: No max. body size (length) found,CS,
Mammal,Desmostylia,Desmostylia,Ashoroa,genus,Cenozoic,Paleogene,Oligocene,Chattian,Paleogene,Oligocene,Chattian,N. Inuzuka. 2000. Primitive late Oligocene desmostylians from Japan and Phylogeny of the Desmostylia. Bulletin of the Ashoro Museum of Paleontology 1:91-123,1.68,TL,Hayashi et al. 2013 Plos,Asia,Herbivore,Benthic,Coastal,amphibious herbivore; foraging on aquatic vegetation,Domning et al. 1989,,,the smallest and one of the oldest desmotylian,CS,
Mammal,Cetacea,Cetacea,Aulophyseter,genus,Cenozoic,Neogene,Miocene,Middle Miocene,Neogene,Miocene,Upper Miocene,Emslie 1988 The Auk ; Morgan 1994 Proceedings of the San Diego Society of Natural History,6.87,TL,Pyenson & Sponberg 2011 Journal of Mammal Evolution,North America; Asia,Macropredator,,,"several smaller Miocene sperm whales (Physeteroidea, Aulophyseter belongs to this family) have been interpreted as raptorial ",Lambert et al. 2021 Nature,,,"species: morricei, size prediction based on moreni (though this species not found in PBDB), maximum bound of prediction range is 11,43m ",GH,
Mammal,Cetacea,Cetacea,Australodelphis,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,Fordyce & Quilty 1994 Records of the South Australian Museum 27(2),3.00,TL,Pimiento et al. 2017,Antarctica,Macropredator,Pelagic,Oceanic,"mesopredator, pelagic, oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,size estimate presumably from Australodelphis mirus since it's the only species,SK,
