Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Shark,Selachii,Chondrichthyes,Lamniformes,Alopias grandis,species,Cenozoic,Paleogene,Oligocene,Chattian,Neogene,Miocene,Middle Miocene,Kent 2018,6.00,TL,Ward & Kent 2015 (SVP poster?),North America,Macropredator,Pelagic,Oceanic,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=132706,,,"Noted that species length was likely ""similar or larger"" than great whites due to similar tooth size",JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Alopias palatasi,species,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Middle Miocene,Kent & Ward 2018,6.00,TL,Kent & Ward 2018,North America,Macropredator,Pelagic,Oceanic,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=377170,,,"Noted that species obtained ""a comparable length to the great white shark"" due to similar tooth size",JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Aquilolamna milarcae,species,Mesozoic,Cretaceous,Upper Cretaceous,Turonian,Cretaceous,Upper Cretaceous,Turonian,Vullo et al. 2021,1.00,TL,Vullo et al. 2021,North America,Micropredator,Pelagic,Oceanic,Filter feeder; morphology suggested to indicate macroceanic-aquilopelagic ecomorphotype,"Vullo, R., Frey, E., Ifrim, C., González González, M.A., Stinnesbeck, E.S. and Stinnesbeck, W., 2021. Manta-like planktivorous sharks in Late Cretaceous oceans. Science, 371(6535), pp.1253-1256.",,,Known from 1 specimen in Mexico; hypothetical 2.5 m shark considered in morphometric analyses,JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Archaeolamna kopingensis,species,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,Cook et al. 2011,3.80,TL,Cook et al. 2011,North America,Macropredator,Pelagic,Coastal/Oceanic,nektonic carnivore,"Cook, T.D., Newbrey, M.G., Murray, A.M., Wilson, M.V., Shimada, K., Takeuchi, G.T. and Stewart, J.D., 2011. A partial skeleton of the Late Cretaceous lamniform shark, Archaeolamna kopingensis, from the Pierre Shale of western Kansas, USA. Journal of Vertebrate Paleontology, 31(1), pp.8-21.",,,>3.8m?,JAC,
Shark,Selachii,Chondrichthyes,Hybodontiformes,Asteracanthus ornatissimus,species,Mesozoic,Jurassic,Middle Jurassic,Bathonian,Cretaceous,Lower Cretaceous,Valanginian,Stumpf et al. 2021,2.00,TL,Stumpf et al. 2021,"North America, Europe, Asia, Africa",Macropredator,Benthic,Oceanic,nektonic carnivore,"Stumpf, S., López‐Romero, F.A., Kindlimann, R., Lacombat, F., Pohl, B. and Kriwet, J., 2021. A unique hybodontiform skeleton provides novel insights into Mesozoic chondrichthyan life. Papers in Palaeontology, 7(3), pp.1479-1505.",,,>2m,JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Carcharias cuspidatus,species,Cenozoic,Paleogene,Oligocene,Rupelian,Paleogene,Oligocene,Chattian,Hovestadt 2022,5.00,TL,Hovestadt 2022,Europe,Macropredator,Benthopelagic,Coastal,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=80589,,,>5 m,JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Carcharodon hastalis,species,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Pliocene,Pliocene,Cappetta 2012,5.20,TL,Perez et al. 2021,Cosmompolitan,Macropredator,Pelagic,Coastal/Oceanic,nektonic carnivore,"Pimiento, C., Griffin, J.N., Clements, C.F., Silvestro, D., Varela, S., Uhen, M.D. and Jaramillo, C., 2017. The Pliocene marine megafauna extinction and its impact on functional diversity. Nature ecology & evolution, 1(8), pp.1100-1106.",,,,JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Carcharodon hubbelli,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,Ehret et al. 2009,5.00,TL,Ehret et al. 2009; 2012; Perez et al. 2021,South America,Macropredator,Pelagic,Coastal/Oceanic,nektonic carnivore,"Pimiento, C., Griffin, J.N., Clements, C.F., Silvestro, D., Varela, S., Uhen, M.D. and Jaramillo, C., 2017. The Pliocene marine megafauna extinction and its impact on functional diversity. Nature ecology & evolution, 1(8), pp.1100-1106.",,,Known from 1 specimen from Peru,JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Carcharomodus escheri,species,Cenozoic,Neogene,Miocene,Middle Miocene,Neogene,Miocene,Upper Miocene,Kriwet et al. 2014,4.00,TL,Kriwet et al. 2014,Europe,Macropredator,Pelagic,Coastal,"nektonic carnivore; stated to come from ""coastal deposits""","Kriwet, J., Mewis, H. and Hampe, O., 2014. A partial skeleton of a new lamniform mackerel shark from the Miocene of Europe. Acta Palaeontologica Polonica, 60(4), pp.857-875.",,,TL via teeth measurment; known from 1 specimen in Germany,JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Cardabiodon ricki,species,Mesozoic,Cretaceous,Upper Cretaceous,Cenomanian,Cretaceous,Upper Cretaceous,Turonian,Newbrey et al. 2015,5.50,TL,Newbrey et al. 2015,North America & Oceania,Macropredator,Pelagic,Coastal,"nektonic carnivore; known from ""pelagic deposits"" and mapped only from coastal sites","Newbrey, M.G., Siversson, M., Cook, T.D., Fotheringham, A.M. and Sanchez, R.L., 2013. Vertebral morphology, dentition, age, growth, and ecology of the large lamniform shark Cardabiodon ricki. Acta Palaeontologica Polonica, 60(4), pp.877-897.",,,,JAC,
