accepted_name_clean,identified_name_clean
Rayonnoceras vaughanianum,Actinoceras vaughanianum
Acutiramus bohemicus,Pterygotus bohemicus
Acutiramus macrophthalmus,Pterygotus macrophthalmus
Campanile giganteum,Cerithium giganteum
Campylocephalus permianus,Hibbertopterus permianus
Parapuzosia seppenradensis,Parapuzosia seppenradensis
Parapuzosia seppenradensis,Pachydiscus seppenradensis
Platyceramus platinus,Inoceramus platinus
Proterovaginoceras incognitum,Dideroceras incognitum
Pterygotus barrandei,Pterygotus barrandei
Seirocrinus subangularis,Pentacrinus subangularis
Pachyrhizodus subulidens,Raphiosaurus subulidens
Scheenstia mantelli,Lepidotus mantelli
Scheenstia mantelli,Lepidotes mantelli
Scheenstia maximus,Lepidotes maximus
Scheenstia laevis,Lepidotes laevis
Saurichthys ornatus,Saurichthys ornatus
Saurichthys dayi,Belonorhynchus dayi
Saurichthys dayi,Saurichthys dayi
Palaeorhynchus glarisianum,Palaeorhynchus glarisianus
Anenchelum glarisianum,Lepidopus glarisianus
Bananogmius,Ananogmius
Saurichthys deperditus,Giffonus deperditus
Cylindracanthus rectus,Coelorhynchus rectus
Cylindracanthus acus,Coelorhynchus acus
Pachycormus macropterus,Elops macropterus
Sphyraenodus speciosus,Sphyraena speciosa
Ceratodus tuberculatus,Neoceratodus tuberculatus
Eusthenopteron foordii,Eusthenopteron foordi
Alopias grandis,Alopecias grandis
Araloselachus cuspidatus,Odontaspis cuspidata
Araloselachus cuspidatus,Synodontaspis cuspidata
Araloselachus cuspidatus,Lamna cuspidata
Araloselachus cuspidatus,Carcharias cuspidatus
Araloselachus cuspidatus,Carcharias cuspidata
Carcharodon hastalis,Isurus hastalis
Carcharodon hastalis,Oxyrhina hastalis
Carcharodon hastalis,Cosmopolitodus hastalis
Cretalamna appendiculata,Otodus appendiculatus
Cretalamna appendiculata,Cretolamna appendiculata
Cretalamna appendiculata,Lamna appendiculata
Cretoxyrhina mantelli,Isurus mantelli
Cretoxyrhina mantelli,Oxyrhina mantelli
Edestus heinrichi,Edestus heinrichii
Haimirichia amonensis,Carcharias amonensis
Haimirichia amonensis,Odontaspis amonensis
Hexanchus gigas,Notidanus gigas
Hexanchus microdon,Notidanus microdon
Keasius parvus,Cetorhinus parvus
Leptostyrax macrorhiza,Odontaspis macrorhiza
Leptostyrax macrorhiza,Plicatolamna macrorhiza
Otodus angustidens,Carcharodon angustidens
Otodus angustidens,Procarcharodon angustidens
Otodus angustidens,Carcharocles angustidens
Otodus angustidens,Otodus angustidens
Carcharodon auriculatus,Procarcharodon auriculatus
Carcharodon auriculatus,Carcharocles auriculatus
Otodus chubutensis,Carcharodon chubutensis
Otodus chubutensis,Otodus chubutensis
Otodus megalodon,Megaselachus megalodon
Otodus megalodon,Procarcharodon megalodon
Otodus megalodon,Carcharodon megalodon
Otodus megalodon,Carcharocles megalodon
Otodus megalodon,Otodus megalodon
Otodus obliquus,Lamna obliqua
Parotodus benedeni,Isurus benedeni
Planohybodus ensis,Hybodus ensis
Ptychodus whipplei,Ptychodus whippleyi
Squalicorax falcatus,Corax falcatus
Squalicorax pristodontus,Corax pristodontus
Striatolamia macrota,Carcharias macrota
Strophodus eocenicus,Asteracanthus eocaenicus
Xampylodon dentatus,Notidanus dentatus
Aigialosaurus bucchichi,Opetiosaurus bucchichi
Allopleuron hoffmanni,Allopleuron hofmanni
Anthropornis nordenskjoeldi,Anthropornis nordenskjoldii
Anthropornis grandis,Pachypteryx grandis
Archaeospheniscus wimani,Delphinornis wimani
Aristonectes quiriquinensis,Aristonectes quiriquiensis
Atlantochelys mortoni,Protostega neptunia
Attenborosaurus conybeari,Plesiosaurus conybeari
Rhomaleosaurus megacephalus,Plesiosaurus megacephalus
Callawayasaurus colombiensis,Alzadasaurus colombiensis
Ceresiosaurus calcagnii,Lariosaurus calcagnii
Cricosaurus suevicus,Geosaurus suevicus
Cryptoclidus eurymerus,Cryptocleidus eurymerus
Cryptoclidus,Plesiosaurus oxoniensis
Cryptoclidus richardsoni,Cryptocleidus richardsoni
